,comment,sentiment,positive,negative
181,원래 남성이 자신을 미적으로 관리하거나 꾸민단 소린데 이딴식으로 지들끼리 의미부여하고 퍼트리고 기사까지 싣네ㅋㅋㅋㅋㅋ 그루밍족들 미친년들 때문에 오해받을텐데 서러워서 살겠나 - dc official App,Negative,0.0013633015332743526,0.9986367225646973
182,호빠같은데는 남자들도 당연하게 분장급으로 파데하던데 걍 일반 회사원이나 미용에 관심많은 그루밍족 남자들도 파데하냐?? 파데 보는 기준은 뭐냐 커버력/유분기/질감/리무브/가성비 정도해서 아 쌩얼로 다닐수...,Negative,0.003916483372449875,0.9960835576057434
183,호빠같은데는 남자들도 당연하게 분장급으로 파데하던데 걍 일반 회사원이나 미용에 관심많은 그루밍족 남자들도 파데하냐?? 파데 보는 기준은 뭐냐 커버력/유분기/질감/리무브/가성비 정도해서 아 쌩얼로 다닐수...,Negative,0.003916483372449875,0.9960835576057434
184,더 이상함; 그루밍족도 인식이넓어지고 옷도 해외브랜드 시즌 컬렉션마다 성차별 의미를 안두다보니 아무리 보수적이고 그래도 ㅇㅇ 그다지 이상하게안봄 ;; 그거 의식하다보면 더 부자연스러움 물론 여성속옷...,Negative,0.0016764624742791057,0.9983235597610474
186,"결제 ㅋㅋㅋㅋㅋ 라코스테 비싸서 아울렛매장 다니고, 유니클로 더 싸게 사려고 행사기간 찾으면서 애들이랑 술먹고 피방가면 3만원은 걍깨짐. 그루밍족 처럼, 존나 나를 위해서만 돈 투자하고 싶은데, 역시 힘드네.",Negative,0.0036580292508006096,0.9963420033454895
188,조센은 팩블럭 좆본은 특유의 머리스타일 or 수염이랑 눈썹정리하는 그루밍족들 많고 짱깨는 걍 짱깨같이 생김 ㅇㅇ - dc official App,Negative,0.13420940935611725,0.865790605545044
190,타지에서 원룸비 40에 식비 30 기타 필요한 잡화 20정도 빼니까 없음ㅋㅋㅋㅋ 공뭔만 되면 피부과에 그루밍족에 유럽여행 지랄하던새끼갘ㅋㅋㅋ 여친만나려고 현금서비스쳐받고있음ㅋㅋㅋ씨발 돈없어서ㅋㅋㅋ 9급...,Negative,0.02212030440568924,0.9778796434402466
193,"<a class=""tit_txt"" href=""http://gall.dcinside.com/board/view/?id=m_entertainer&amp;no=2749353"" target=""_blank"">능국잦에 끼순이 별로 없는데</a>",Negative,0.030273456126451492,0.9697265625
195,"<a class=""tit_txt"" href=""http://gall.dcinside.com/board/view/?id=jeonsomi&amp;no=311004"" target=""_blank"">★★★원성이 자자해서 말리는 판국이니 반사슬로건 나눔취소</a>",Negative,0.13062426447868347,0.8693757653236389
197,"<a class=""tit_txt"" href=""https://gall.dcinside.com/mgallery/board/view/?id=gfl2&amp;no=4407161"" target=""_blank"">그루밍 성범죄는 대체 뭐하는 성범죄냐</a>",Negative,0.1462526172399521,0.8537473678588867
198,"<a class=""tit_txt"" href=""https://gall.dcinside.com/board/view/?id=divination&amp;no=13268103"" target=""_blank"">요즘 30대 이하 남자들 마니 꾸미더라</a>",Negative,0.08439771831035614,0.9156023263931274
204,"<a class=""tit_txt"" href=""https://gall.dcinside.com/mgallery/board/view/?id=twitter&amp;no=667270"" target=""_blank"">저것들이 멋대로 만들어놓은 정의(定義)를 써주는것도 문제임</a>",Negative,0.010533149354159832,0.9894668459892273
205,"<a class=""tit_txt"" href=""http://gall.dcinside.com/mgallery/board/view/?id=twitter&amp;no=358911"" target=""_blank"">페미들이 이젠 그루밍도 엉터리러 퍼트리네ㅋㅋㅋㅋㅋ</a>",Negative,0.14201465249061584,0.8579853177070618
218,펠릭스 가슴털이 더러움?,Negative,0.03407867252826691,0.9659212827682495
221,게이들 인스타 티나는거 화장이나 꾸미는걸로 티 안남,Negative,0.0014486006693914533,0.9985513687133789
226,이때까지 모아본 114 정보로 유추해 보았다,Negative,0.043626993894577026,0.9563730359077454
228,이랬는데 갤주 치과 인증샷,Negative,0.06414373964071274,0.935856282711029
235,남성 코르셋 전성시대,Negative,0.013380641117691994,0.9866193532943726
236,회사 다닐때 외모랑 옷차림 신경쓰는게 정상아니냐?,Negative,0.022780461236834526,0.9772195219993591
237,"남자가 겟잇뷰티, 핫트랙스 이런거 관심 있으면 이상하냐?",Negative,0.008678175508975983,0.991321861743927
241,태어난거다 못생겼다고? 성형하고 화장빨로 덮으면 그만아니야? 남자는 못생겼다고 화장하면 십게이 그루밍족 취급 받아 거기다 제도권도 정치권도 여자 편만 들어줌 정확히는 성인 남성 빼고 다 특별대우 이것이...,Negative,0.010431076399981976,0.9895689487457275
242,요즘은 그루밍족이 대세다 여자한테 잘 보이려고 꾸미는게 아니고 스스로를 위해 꾸미는거다 지금 너 머리 보이지? 저게 뭐냐 진짜 넌 이마가 넓어서 머리 저렇게 밀어놓으면 별로다 머리길러서 덮는게 나음 뿔테...,Negative,0.0040047685615718365,0.9959952235221863
243,가슴털 수북한 거 보다가 상탈 데이비드 보면 씹게이 그루밍족 같음,Negative,0.008726411499083042,0.9912735819816589
244,문제도 그냥 미용고 수준에 맞게 존나 쉬운거 내는데 그마저 줄줄이 다 틀림 ㅋㅋㅋㅋㅋ문제가 그루밍족 뜻이 패션과 미용에 투자하는 남자들이다 o x중에 고르는건데 이걸 x를 쳐 골라서 다 틀림 ㅅㅂ,Negative,0.0015891911461949348,0.9984107613563538
245,요새 돈많고 잘생긴 남자들 다 그루밍족임 근데 게이들인스타보는 피드보면 ㄹㅇ 지같이 그루-밍족 새끼들이랑 만나서 좆목질하고 있음 ㅋㅋㅋ 거의 일대일로 카페다니고 피드 존나 훈훈한 꼬추밭임 뷰지들 사진...,Negative,0.02183389663696289,0.9781661033630371
246,수염기르고 겨울에 다칠까봐 주머니에 수염 넣어놓고 관리하는 그루밍족새끼 다른놈들이 수염충 놀린다고 미염공 미염고 그랬는데 그게 진짜인줄 알고 좋아하던 게이새끼 지금 태어났으면 이태원에서 게이분장...,Negative,0.0013823865447193384,0.9986175894737244
